name_en,Nose_CenterShoulders_CenterHips,LeftHip_LeftShoulder_LeftElbow,RightHip_RightShoulder_RightElbow,LeftShoulder_LeftElbow_LeftWrist,RightShoulder_RightElbow_RightWrist,LeftShoulder_CenterShoulders_Nose,RightShoulder_CenterShoulders_Nose,LeftIndex1_LeftWrist_LeftElbow,RightIndex1_RightWrist_RightElbow,LeftShoulder_LeftHip_LeftKnee,RightShoulder_RightHip_RightKnee,LeftHip_LeftKnee_LeftAnkle,RightHip_RightKnee_RightAnkle,LeftKnee_LeftAnkle_LeftFootIndex,RightKnee_RightAnkle_RightFootIndex,LeftElbow_CenterShoulders_RightElbow,LeftKnee_CenterHips_RightKnee
Child's pose,100.2302061932567,142.64861982690965,137.33534738413624,119.26307143803376,99.676086194972,71.19884838939043,108.80115161060958,155.2007964250566,117.61333154318734,23.54099106287368,23.99137356676754,48.26214646255288,44.30434777051234,163.90314043230828,168.81548811822975,97.54118441413031,57.03865820149191
Child's pose,85.87105668489016,145.7691013083424,147.73635935273688,97.60234803091171,118.1917759475682,89.06834704593788,90.93165295406212,77.68651332292694,139.30940677323434,27.3731699944703,31.49624633574412,35.58023479313983,61.509674053863606,145.4948172621495,146.80260306079006,124.32631084988569,90.1985935538179
Child's pose,91.8235797089702,145.56841977511323,125.24542837794534,105.46141283602874,129.9599655955866,85.0261803582159,94.9738196417841,100.36146390889029,134.00181698467676,34.32100691016522,35.01932007889809,44.28348948386481,58.032936338746005,154.52319574463118,159.5496974656124,128.0044617855866,75.05845897010983
Child's pose,111.4135609820344,138.69021374729084,156.23100942862203,121.25893627697846,152.73187090781062,81.24466920126495,98.75533079873506,149.3222275172868,129.49749359473518,38.50029843457425,37.01763984543636,55.00757690315829,37.85168629226568,156.76245509555923,156.94565681840024,130.61163439404262,78.86965101088424
Child's pose,88.61023932189333,135.41765258818296,137.94089139323887,120.40480077002007,125.93633073802674,104.46111724706374,75.53888275293627,123.93806402354838,149.03361217681254,27.59922952618228,28.70163368557593,38.18189194512627,54.780916789196624,154.0596050793095,162.69124971117813,121.1455491086372,68.48921182569498
Child's pose,117.37153737253168,148.92247501766826,142.62875881103068,118.5485196461135,125.46902207511324,73.6706999382039,106.3293000617961,107.7172584597498,142.24283286173693,28.46611342097253,32.26436703129875,44.46146200209342,54.1052431472877,148.14299152802977,146.44143212989803,115.1588676506891,67.47243471345813
Child's pose,111.0213394600916,136.31568318833172,157.2135060681089,128.8224943417215,151.6319013857594,87.05564821480749,92.94435178519252,170.2762654061541,142.07801712423338,61.793024422568415,39.00812748858409,66.11746060100022,47.15631023659508,134.75526579045967,148.31389224367686,69.64148058161194,53.79713315793207
Child's pose,104.19130397259164,140.93717606443232,131.80288206465772,116.62789643865162,111.16568500313043,80.66675350882427,99.33324649117571,155.857901537239,117.04304561920304,29.545820101505942,33.69224237238264,59.791268167373175,50.765814353445926,168.97127688847232,168.09196375809807,112.00011767016646,68.52576360497196
Child's pose,110.42655529247271,137.95177935816986,134.96282074040218,106.43263566838236,114.93268916229044,75.56699621528881,104.4330037847112,119.5358482393873,166.0029015830275,31.22883593570648,34.460593412134,57.70870317212533,76.11237017505235,162.73753724562204,167.3608124766888,113.43784859530594,67.81961990128306
Child's pose,146.7017651224005,130.7624942700491,158.08732566332128,97.9893341098337,138.86547158786362,97.25721828754776,82.74278171245223,177.0088763599552,140.08968239761248,53.953621119576525,26.485684432050483,72.39436537046157,40.721708182674256,157.16337751790948,161.2612187904358,132.97669326044877,106.2045085947582
Child's pose,119.92352871453696,154.15230749669243,162.75171255898556,128.96585967921442,137.24015979046052,85.43108926367793,94.56891073632208,169.56519873397684,125.29232028522313,51.346313310905664,25.27061990540248,67.95725898723457,39.24170192792372,161.45962175011283,161.60605602430928,96.79181797205392,80.84421260698187
Child's pose,103.89403843938088,133.75369684172472,161.8650312480376,126.7843620265382,160.86236436170532,73.41167244723869,106.5883275527613,163.4026573497966,153.10931290596733,95.1579385477242,34.65285799237997,108.1268434951911,41.93028360363248,169.01343506445517,170.48033220942867,109.77070702088687,106.30035428792088
Child's pose,107.10171586557055,138.34526062688573,162.9206224702636,121.89838182097418,151.06031072882092,68.09630745124598,111.90369254875402,156.4340450031722,131.85973820323855,68.79870076673468,40.193367595841295,95.9254701498298,63.24420669558741,151.29786351321877,141.90406548153877,92.08250001507945,63.83805012244724
Child's pose,116.31025716934664,105.38444076757736,108.27363030839896,111.38673094357586,96.14056901415522,25.26382905067779,154.7361709493222,127.82931245611763,161.89854504726335,66.43564627616895,61.69515243084054,48.27328099769996,55.84514722686593,146.61058028950683,133.73707039028437,100.45859746981968,57.01412766989333
Child's pose,82.37962970931265,125.6946372729418,159.1369557111511,128.82831662814357,163.15319878186168,56.382777195294686,123.61722280470532,132.87707413775135,164.15810151521163,76.16283019302895,61.26732921241965,108.71313543684396,91.72435929430084,166.40532920551138,142.0621235926335,99.35894794136858,72.77343857261083
Child's pose,99.25875343625287,123.77757100271084,173.2012675014945,130.32429011115045,167.25646800440725,88.7802251209154,91.2197748790846,163.14497335427083,147.27693688365738,86.05913798092189,34.343472048358684,118.5517333205846,69.67393384295615,164.50878832837236,165.17537434734632,78.71441682484206,76.28685885426334
Child's pose,96.97236104100338,120.71269619901186,146.76712046809797,93.92901955505026,124.23365379869088,81.74971896942088,98.25028103057912,161.69985762884463,104.61083070616006,42.51117718324086,31.6454228821301,84.4702257796234,45.87993890187022,172.97130097535413,173.24215090228722,139.89800721975698,108.8545194701527
