name_en,name_sa,Nose_CenterShoulders_CenterHips,LeftHip_LeftShoulder_LeftElbow,RightHip_RightShoulder_RightElbow,LeftShoulder_LeftElbow_LeftWrist,RightShoulder_RightElbow_RightWrist,LeftShoulder_CenterShoulders_Nose,RightShoulder_CenterShoulders_Nose,LeftIndex1_LeftWrist_LeftElbow,RightIndex1_RightWrist_RightElbow,LeftShoulder_LeftHip_LeftKnee,RightShoulder_RightHip_RightKnee,LeftHip_LeftKnee_LeftAnkle,RightHip_RightKnee_RightAnkle,LeftKnee_LeftAnkle_LeftFootIndex,RightKnee_RightAnkle_RightFootIndex,LeftElbow_CenterShoulders_RightElbow,LeftKnee_CenterHips_RightKnee
Child's pose,,100.2302061932567,142.64861982690965,137.33534738413624,119.26307143803376,99.676086194972,71.19884838939043,108.80115161060958,155.2007964250566,117.61333154318734,23.54099106287368,23.99137356676754,48.262146462552884,44.304347770512344,163.90314043230828,168.81548811822975,97.54118441413031,57.038658201491906
Child's pose,,85.87105668489016,145.76910130834239,147.73635935273688,97.60234803091173,118.1917759475682,89.06834704593788,90.93165295406213,77.68651332292694,139.30940677323434,27.3731699944703,31.49624633574412,35.58023479313983,61.509674053863606,145.4948172621495,146.80260306079006,124.32631084988567,90.1985935538179
Child's pose,,91.82357970897021,145.56841977511323,125.24542837794534,105.46141283602874,129.9599655955866,85.0261803582159,94.9738196417841,100.36146390889027,134.00181698467676,34.32100691016522,35.01932007889809,44.28348948386481,58.032936338746005,154.52319574463118,159.5496974656124,128.0044617855866,75.05845897010983
Child's pose,,111.4135609820344,138.69021374729084,156.23100942862203,121.25893627697846,152.73187090781062,81.24466920126495,98.75533079873506,149.3222275172868,129.49749359473518,38.50029843457425,37.017639845436356,55.00757690315829,37.851686292265676,156.76245509555923,156.94565681840024,130.61163439404262,78.86965101088424
Child's pose,,88.61023932189333,135.41765258818296,137.94089139323887,120.40480077002009,125.93633073802674,104.46111724706374,75.53888275293627,123.93806402354838,149.03361217681254,27.59922952618228,28.70163368557593,38.18189194512627,54.780916789196624,154.05960507930953,162.69124971117813,121.1455491086372,68.48921182569498
Child's pose,,117.37153737253168,148.92247501766826,142.62875881103068,118.5485196461135,125.46902207511323,73.6706999382039,106.3293000617961,107.71725845974981,142.24283286173693,28.46611342097253,32.26436703129875,44.46146200209342,54.1052431472877,148.14299152802977,146.44143212989803,115.1588676506891,67.47243471345813
Child's pose,,111.0213394600916,136.31568318833172,157.2135060681089,128.8224943417215,151.6319013857594,87.05564821480749,92.94435178519251,170.2762654061541,142.07801712423338,61.793024422568415,39.00812748858409,66.11746060100022,47.156310236595075,134.75526579045967,148.31389224367686,69.64148058161194,53.79713315793207
Child's pose,,104.19130397259165,140.93717606443232,131.80288206465772,116.62789643865162,111.16568500313045,80.66675350882427,99.33324649117573,155.857901537239,117.04304561920303,29.545820101505946,33.69224237238264,59.791268167373175,50.765814353445926,168.97127688847232,168.09196375809807,112.00011767016646,68.52576360497196
Child's pose,,110.42655529247271,137.95177935816986,134.96282074040218,106.43263566838235,114.93268916229044,75.56699621528881,104.43300378471119,119.5358482393873,166.0029015830275,31.22883593570648,34.460593412134,57.70870317212533,76.11237017505235,162.73753724562204,167.3608124766888,113.43784859530594,67.81961990128306
Child's pose,,146.7017651224005,130.7624942700491,158.08732566332128,97.9893341098337,138.86547158786362,97.25721828754777,82.74278171245223,177.0088763599552,140.08968239761248,53.953621119576525,26.485684432050483,72.39436537046157,40.721708182674256,157.16337751790948,161.2612187904358,132.97669326044877,106.20450859475821
Child's pose,,119.92352871453696,154.15230749669243,162.75171255898556,128.96585967921442,137.24015979046052,85.43108926367793,94.56891073632208,169.56519873397684,125.29232028522311,51.346313310905664,25.270619905402476,67.95725898723457,39.24170192792372,161.45962175011283,161.60605602430928,96.79181797205392,80.84421260698187
